nota;grupo;codigo;esforco;prioridade;habilidades;prazo
9101944868;EXTREDBT;INRU;308;0;VAR;2880
9101944869;EXTREDBT;INRU;164;0;VAR;2880
9101944870;EXTREDBT;INRU;92;0;VAR;2880
9101944871;EXTREDBT;INRU;416;0;VAR;2880
9101944872;EXTREDBT;INRU;740;0;VAR;2880
9101944873;EXTREDBT;INRU;100;0;VAR;2880
9101944874;EXTREDBT;INRU;56;0;VAR;2880
9101944875;EXTREDBT;INRU;56;0;VAR;2880
9101944876;EXTREDBT;INRU;272;0;VAR;2880
9101944877;EXTREDBT;INRU;308;0;VAR;2880
9101944878;EXTREDBT;INRU;236;0;VAR;2880
9101944879;EXTREDBT;INRU;200;0;VAR;2880
9101944880;EXTREDBT;INRU;128;0;VAR;2880
9101944881;EXTREDBT;INRU;100;0;VAR;2880
9101944882;EXTREDBT;INRU;236;0;VAR;2880
9101944883;EXTREDBT;INRU;92;0;VAR;2880
9101944884;EXTREDBT;INRU;416;0;VAR;2880
9101944885;EXTREDBT;INRU;92;0;VAR;2880
9101944886;EXTREDBT;INRU;92;0;VAR;2880
9101944887;EXTREDBT;INRU;200;0;VAR;2880
9101944888;EXTREDBT;INRU;272;0;VAR;2880
9101944889;EXTREDBT;INRU;100;0;VAR;2880
9101944890;EXTREDBT;INRU;380;0;VAR;2880
9101944891;EXTREDBT;INRU;56;0;VAR;2880
9101944892;EXTREDBT;INRU;56;0;VAR;2880
9101944893;EXTREDBT;INRU;100;0;VAR;2880
9101944894;EXTREDBT;INRU;56;0;VAR;2880
9101944895;EXTREDBT;INRU;452;0;VAR;2880
9101944896;EXTREDBT;INRU;128;0;VAR;2880
9101944897;EXTREDBT;INRU;92;0;VAR;4320
9101944898;EXTREDBT;INRU;56;0;VAR;4320
9101944899;EXTREDBT;INRU;92;0;VAR;4320
9101944900;EXTREDBT;INRU;100;0;VAR;4320
9101944901;EXTREDBT;INRU;56;0;VAR;4320
9101944902;EXTREDBT;INRU;92;0;VAR;4320
9101944903;EXTREDBT;INRU;56;0;VAR;4320
9101944904;EXTREDBT;INRU;56;0;VAR;4320
9101944905;EXTREDBT;INRU;92;0;VAR;4320
9101944906;EXTREDBT;INRU;56;0;VAR;4320
9101944907;EXTREDBT;INRU;56;0;VAR;4320
9101944908;EXTREDBT;INRU;100;0;VAR;4320
9101944909;EXTREDBT;INRU;164;0;VAR;2880
9101944910;EXTREDBT;INRU;488;0;VAR;2880
9101944911;EXTREDBT;INRU;1316;0;VAR;2880
9101944912;EXTREDBT;INRU;56;0;VAR;2880
9101944913;EXTREDBT;INRU;56;0;VAR;2880
9101944914;EXTREDBT;INRU;92;0;VAR;2880
9101944915;EXTREDBT;INRU;272;0;VAR;2880
9101944916;EXTREDBT;INRU;200;0;VAR;2880
9101944917;EXTREDBT;INRU;100;0;VAR;2880
9101944918;EXTREDBT;INRU;100;0;VAR;2880
9101944919;EXTREDBT;INRU;92;0;VAR;2880
9101944920;EXTREDBT;INRU;308;0;VAR;2880
9101944921;EXTREDBT;INRU;100;0;VAR;2880
9101944922;EXTREDBT;INRU;416;0;VAR;2880
9101944923;EXTREDBT;INRU;272;0;VAR;2880
9101944924;EXTREDBT;INRU;56;0;VAR;2880
9101944925;EXTREDBT;INRU;236;0;VAR;2880
9101944926;EXTREDBT;INRU;344;0;VAR;2880
